id,chapter,section,page_number,content,keywords,medical_category,age_group,created_at,updated_at
52,Chapter 153,some do not fit binary categories of sexual orientation and use other,2700,"a particular sex or gender, or more than one, to various degrees on
a continuum. Homosexuality involves orientation toward people
of one’s same sex or gender, and bisexuality involves orientation
toward males and females. Gay is a common term for both males
and females who have same-­sex attractions; lesbian refers to gay
females. Increasing numbers of youth describe themselves as having a nonbinary gender identity (see Chapter 153). Accordingly,
some do not fit binary categories of sexual orientation and use other
terms to describe themselves, such as pansexual (attracted to all
genders). Those unsure of their orientation are curious or questioning. The term young men who have sex with men (YMSM) is
sometimes used in the research literature to denote male youth who
engage in sexual activity with other males, regardless of how they
identify themselves.",general pediatrics,General Pediatrics,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
53,Chapter Unknown,General,2750,"Some junior high and high school students self-­identify as gay, lesbian, or bisexual (Fig. 154.1). Some who do not identify as GLB report
same-­sex attraction, fantasies, or behavior. Some are unsure of their
sexual orientation. Certainty about sexual orientation tends to increase
through adolescence with sexual experience, although one can be
aware of one’s orientation without having had sexual partners. Those
who fear nonacceptance may try to suppress or deny their orientation.
Consequently, various aspects of an individual’s orientation—attraction, behavior, and identity—may not always be consistent with each
other throughout development. Not all youth with homosexual attraction or experience identify as gay, consistent in part with reluctance
about having or revealing a gay identity and underscoring the differences among attraction, behavior, and identity. A report providing
national estimates of the number of high school students with GLB
identity in 2019 found that 2.5% said they were gay or lesbian, 8.7%
said they were bisexual, and 4.5% reported being unsure of their sexual
orientation (see Fig. 154.1).",development,Growth and Development,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
54,Chapter Unknown,General,2800,"Risk Behavior Study. (From HHS Youth Risk Behavior Survey from 2019:
US Department of Health and Human Services, Centers for Disease
Control and Prevention. (2020, Aug 21). Youth Risk Behavior Surveillance -- United States, 2019. MMWR Supplement, 69(1) https://www.
cdc.gov/healthyyouth/data/yrbs/pdf/2019/su6901-H.pdf.)",disease,General Pediatrics,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
55,Chapter 153,General,2850,"Sexual orientation development appears to begin prenatally and
continue through childhood and adolescence and into adulthood.
Both gender role behavior in childhood and sexual orientation in
puberty and adolescence are partly influenced by prenatal genetic
and neuroendocrine factors. Sociocultural and psychologic factors
also influence sexual development. A gay or lesbian sexual orientation is sometimes preceded developmentally in childhood by
nonconforming gender expression or variation from population
averages in expression of gender-­related behavior such as activities, interests, styles, and other attributes recognized as masculine
or feminine, like toy preferences and preference for playmates of
a particular gender. Childhood gender nonconformity is significantly associated with nonheterosexual orientation, especially in
males. However, it is not experienced by all gay or lesbian people,
and not all children with nonconforming gender role behavior
are gay or lesbian. When present, however, nonconformity causes
many gay people to feel different from peers during childhood, even
before sexual desire or identity emerges. Depending on the setting,
gender-­nonconforming children may experience ostracism, bullying, or family nonacceptance. These reactions to gender nonconformity can lead to later difficulty with gender-­related self-­esteem and
long-­term mental health problems.
Less frequently, gay or lesbian sexual orientation in adolescence
is preceded by childhood gender variant identity, a phenomenon
in which the gender identity of an individual at any age differs from
phenotypic sex and assigned sex at birth (see Chapter 153).",child|development,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
56,Chapter Unknown,General,2900,"People experiencing same-­sex attraction and behavior exist in all societies. The meaning, acceptance, and legality of non-­heterosexual attraction vary greatly with cultural, historical, and social contexts. Although
gay people are more visible and accepted in some societies, youth are
often exposed to antigay attitudes. For many GLB youth, revealing their
sexual orientation (coming out) to family, peers, healthcare providers,
and others is a significant step. Specific racial, ethnic, religious, and other
demographic groups may experience distinct developmental stressors.
A comprehensive understanding of a youth’s sexual development and
health must consider intersecting sociodemographic factors influencing
a youth’s experience of a nonheterosexual orientation. For example, race,
ethnicity, and religious affiliation—and the reactions of others to one’s
demographic characteristics—can influence comfort disclosing an GLB
identity, involvement in GLB socialization, access to religious affirmation, and processes of coming out.",development,Growth and Development,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
57,Chapter 302,"322). Oral-­anal and digital-­anal contact can transmit enteric pathogens,",2950,"), cytomegalovirus (see Chapter 302), and HIV (see Chapter
322). Oral-­anal and digital-­anal contact can transmit enteric pathogens,
such as hepatitis A. Unprotected oral sex also can lead to oropharyngeal
disease in the receptive partner and gonococcal and nongonococcal urethritis in the insertive partner. Certain STIs, particularly ulcerative diseases, such as syphilis and herpes simplex virus infection, facilitate spread
of HIV. YMSM are also at risk for infections with Shigella spp. and Mpox
(see Chapter 163).
Among U.S. adolescents and young adults, YMSM, and especially Black
YMSM, continue to face the greatest prevalence of HIV/AIDS. Although
possible, female-­to-­female sexual transmission of HIV is inefficient, and
females who only engage in sex with females are less likely than other youth
to acquire an STI. However, males and females who identify as gay or lesbian may engage in sexual activity with partners who are not of the same
gender; counseling and screening for all types of STIs are still relevant.",hepatitis|urethritis|infection|adolescent|disease,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
58,Chapter Unknown,General,3000,"Compared with their heterosexual peers, GLB youth appear to use
alcohol and other substances at higher rates, including more binge
drinking and earlier onset and more rapid trajectory of substance use.",general pediatrics,General Pediatrics,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
59,Chapter Unknown,General,3050,"Downloaded for mohamed ahmed (dr.mms2020@gmail.com) at University of Southern California from ClinicalKey.com by Elsevier on
April 21, 2024. For personal use only. No other uses without permission. Copyright ©2024. Elsevier Inc. All rights reserved.",general pediatrics,General Pediatrics,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
60,Chapter Unknown,General,3100,"u Gay, Lesbian, and Bisexual Adolescents
out of their homes. GLB young people are overrepresented among
homeless and runaway populations across the United States, which can
expose them to drugs, sexual abuse, and other health risks.",adolescent,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
61,Chapter 153,"They should receive the age-­appropriate history, examination, and",3150,"The goal of GLB pediatric care is physical health, social and emotional well-­being, and healthy development. Physicians should provide nonjudgmental care to all adolescents, including those who are
GLB or questioning (see Chapter 153, Table 153.1, and Table 154.1).
They should receive the age-­appropriate history, examination, and
anticipatory guidance recommended for adolescents in general.
The physical examination and laboratory evaluation of GLB and
questioning adolescents are the same as for any teenager. However,
providers should appropriately screen for special potential medical
and psychosocial threats to GLB teenagers’ health.
A nonjudgmental healthcare environment is important, with
open communication and a positive relationship with youth and
families. In the waiting room, written material about sexual orientation, support groups, and community resources will signal openness to discussing sexuality. Registration forms recognizing the
possibility of same-­gender parents signal a safe setting (e.g., forms
can list parent/guardian #1, parent/guardian #2). Sexual history
questions should avoid heterosexual assumptions (e.g., ask “Are you
dating someone?” vs “Do you have a boyfriend/girlfriend?”). This
is important at all ages. For example, asking a 6-­year-­old male if he
has a girlfriend may convey an unsupportive message if he discovers
later that he would like a boyfriend. Explaining confidentiality and
incorporating into each adolescent visit private time with no parent
in the room (see Chapter 137) may facilitate discussing sexual orientation, as may use of appropriate health history forms such as the
American Medical Association’s Guidelines for Adolescent Prevention Services Questionnaire.
Clinicians should remember that any youth might be GLB whether
or not they are identified or perceived as such, so clinicians should not
presuppose a particular orientation (see Table 154.1). Competency in
conveying sensitivity, acceptance, and respectfulness; effective communication skills; and appropriate attention to privacy and confidentiality (including practices related to billing and record requests) are
fundamental to providing high-­quality care. While remaining attuned
to youth’s preferences, explicit or implied, for discussing sexual orientation, providers can tactfully take the lead, if necessary, regarding any
pressing areas of clinical concern.",adolescent|pediatric|development,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
62,Chapter 163,"are included here. Use of latex condoms for fellatio, and dental dams",3200,"STIs are covered in Chapter 163, but issues specific to GLB youth
are included here. Use of latex condoms for fellatio, and dental dams
and cut-­open latex condoms for anilingus and cunnilingus, should
be discussed with adolescents. Recommendations also include use
of latex condoms for sexual appliances. In addition, it is important to
emphasize that people who have been using alcohol or other drugs
are at increased likelihood for engaging in riskier sexual activity. It
is important not to assume that a gay male or female who does not
identify as bisexual has not had sex with someone of a different sex
or gender; lesbians can still have an unplanned pregnancy. Therefore prevention counseling about unintended pregnancy is relevant",adolescent,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
63,Chapter 150,a biologic substrate in the development and eventual maturation of the,3250,"The Epidemiology of
Adolescent Health
Problems
Samantha V. Hill and Tamera Coyne-­Beasley
Adolescence is the first period of life where the major determinants of
morbidity and mortality are behavioral rather than congenital or infectious. As adolescents make the transition from childhood to adulthood, they establish behaviors that affect both their current and future
health. Adolescence is a time of immense biologic, psychologic, and
social change (see Chapter 150). Many of the psychologic changes have
a biologic substrate in the development and eventual maturation of the
central nervous system, particularly the frontal lobe areas responsible
for executive functioning (Fig. 155.1). In addition to cognitive development, there are both risk and protective factors for adverse adolescent
health behaviors that are dependent on the social environment and the
mental health of an adolescent (Table 155.1).
Many adolescents continually confront the task of making healthy
choices while struggling with impulsivity that can lead to unintentional consequences, such as injuries, sexually transmitted infections
(STIs), or drug overdoses. Adolescents are also challenged with adopting behaviors that will affect their future adult health, such as eating
nutritiously; engaging in physical activity; and choosing not to use
tobacco (including vapes and e-­cigarettes), alcohol, cannabis, or illicit
substances. Environmental factors and social determinants of health in
and among an individual’s family, peers, school, and community also
contribute to adolescents’ health and risk behaviors. The U.S. Centers
for Disease Control and Prevention (CDC) Youth Risk Behavior Surveillance Survey, a school-­based survey of a nationally representative
sample of U.S. high school students, demonstrates that youth begin
engaging in behaviors that place their health at risk during adolescence
(Fig. 155.2).
Although according to the 2018 CDC National Health Interview
Survey (https://www.cdc.gov/nchs/nhis/shs/tables.htm), a probability sample survey conducted annually, an estimated 83% of 12-­to
17-­year-­olds report excellent or very good health, 11% reported limitation in usual activities because of one or more chronic conditions, 10%
missed 6-­10 school days in the past year, 6% are uninsured, 5% have
no usual place of healthcare, 10% have asthma, 12% have respiratory",infection|adolescent|disease|child|development,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
64,Chapter Unknown,General,3300,"allergies, 10% have a learning disability, 13% have attention-­deficit/
hyperactivity disorder, and 18% take prescription medications routinely. In 2018 the mortality rate among adolescents 15-­19 years of age
was 49 deaths per 100,000 population. Although varying by gender,
the leading causes of death overall among adolescents 15-­19 years of
age are (1) unintentional injuries, (2) suicide, and (3) homicide (Table
155.2).
Within the adolescent population, disparities in health occur. Adolescent health outcomes and behaviors vary among populations that
can be defined by being Black, ethnicity, gender, education, income,
disability, geographic location (e.g., rural or urban), or sexual orientation. Health disparities result from multiple factors affecting social
determinates of health, including poverty, environmental threats,
inadequate access to healthcare, individual and behavioral factors, racism and other systemic biases, and educational and other inequalities
(Table 155.3).",medication|adolescent|disorder,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
65,Chapter Unknown,General,3350,"Adolescents in the United States make fewer visits to physicians for
ambulatory office visits than any other age-­group; school-­age children and adolescents are more likely than younger children to have
unmet health needs and delayed medical care. Adolescents who actually receive preventive care may still not have access to time alone
with their provider to discuss confidential health issues such as
STIs, HIV, or pregnancy prevention. Less than half (22% of 13-­to
14-­year-­­olds and 43% of 15-­to 18-­year-­olds) of adolescents have time
alone with their healthcare provider during a preventive healthcare
visit; sexually experienced teens report sexual health discussions
more often than nonsexually experienced teens, but the frequency is
still low at 81% and 65% for sexually experienced young women and
men, respectively.
The 2010 Patient Protection and Affordable Care Act (ACA) has
improved access to care for young adults 18 to 24 years old. The ACA
permits children to receive benefits from their parents’ health plans
through age 26 years. Although accomplishments have been made in
improving adolescent health, Healthy People provides science-­based,
10-­year national objectives for measuring and improving the health
of all Americans by establishing benchmarks and monitoring progress
over time. The Healthy People 2030 agenda includes 24 adolescent-­
specific objectives with a goal of improving the healthy development,
health, safety, and well-­being of adolescents and young adults over the
next 10 years (Table 155.4). This science-­based initiative is centered
around a framework for public health prevention priorities and actions
to improve the health status of U.S. youth.
Visit Elsevier eBooks+ at eBooks.Health.Elsevier.com for Bibliography.",adolescent|child|development,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
66,Chapter Unknown,General,3400,"Depression and other mental health problems, low self-­
esteem, easy family access to alcohol, working outside
school, difficulty talking with parents, risk factors for transition
from occasional to regular substance misuse (smoking,
availability of substances, peer use, other risk behaviors)",general pediatrics,General Pediatrics,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
67,Chapter Unknown,General,3450,"Adapted from McIntiosh N, Helms P, Smyth R, eds. Fofar and Arneil’s Textbook of Pediatrics, 6th ed. Edinburgh: Churchill Livingstone; 2003:1757–1768; and Viner R, Macfarlane A.
Health promotion. BMJ. 2005;330:527–529.",pediatric,General Pediatrics,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
68,Chapter Unknown,General,3500,"Fig. 155.2 Selected health behaviors among 9th-and 12th-grade high school students. ENDs, Electronic nicotine delivery systems. (Data from
Centers for Disease Control and Prevention: 1991-2021 High school youth risk behavior survey data. http://nccd.cdc.gov/youthonline.)",disease,General Pediatrics,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
69,Chapter 15,"Youths may be perpetrators, victims, or observers of violence (or any",3550,"Violent Behavior
Michael N. Levas and
Marlene D. Melzer-­Lange
Violence is recognized by the World Health Organization (WHO) as a
leading worldwide public health problem. The WHO defines violence
as “the intentional use of physical force or power, threatened or actual,
against oneself, another person, or against a group or community that
either results in or has a high likelihood of resulting in injury, death,
psychologic harm, maldevelopment or deprivation” (see Chapter 15).
Youths may be perpetrators, victims, or observers of violence (or any
combination of the three roles, wherein the roles are unclear), with
varying severity of impact on the individual, family, and larger community. Risk factors for youth violence include poverty, socially disorganized communities, war and other regional conflicts, substance misuse
(in the child or family), behavioral health disorders (attention-­deficit,
hyperactivity, conduct disorder), poor school performance, social isolation, child trafficking, runaway youth, criminal or gang involvement
(child or family), bullying, and low parental involvement.",child|disorder|development,Growth and Development,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
70,Chapter Unknown,General,3600,"In 2019 (and 2021), homicide in the United States was the third leading cause of death for 10-­to 24-­year-­olds, totaling 4,965 deaths, which
were largely males (85%) killed by a handgun (79%). The 2019 homicide rate for teens age 12-­17 years was 3.43/100,000 youth, down 63%
from 8.4/100,000 youth in 1993. The WHO reports that other than
the United States, where the youth and young adult homicide rate was
11/100,000, most countries with homicide rates above 10/100,000 are
developing nations or countries with socioeconomic instability. In the
United States the prevalence of behaviors that contribute to violence
has not decreased, as fighting, weapon carrying, and cyberbullying
remain prevalent among youth. Furthermore, the rate of homicide in
youth had been declining since the peak in the 1990s but showed an
increase in 2017 that has continued (Fig. 156.1). Adolescent reports
of physical fighting have decreased from 42% in 1991 to 22% in 2019.
Violence at U.S. schools remains a significant problem, with 8.1% of
students reporting being in a physical fight on school property one or",adolescent,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
71,Chapter Unknown,General,3650,"more times in the preceding 12 months in 2019. The 2019 Youth Risk
Behavior Surveillance System reported 13.1% of youths overall carried
a weapon such as a gun, knife, or club in the last 30 days; 2.8% carried
the weapon to school; and 7.4% reported being threatened or injured
with a type of weapon on school property. Males are more likely than
females to carry a gun or weapon and therefore may need more support and engagement at home and at school. These violence-­related
behaviors at school affect the general students’ perception of safety.
More than 8.7% of students did not go to school on one or more days
in the preceding 30 days because they felt it was unsafe. School-­based
prevention programs initiated at the elementary school level have been
found to decrease violent behaviors in students. Increased surveillance of students is warranted both on and around school property to
improve student safety.
Adolescent relationship abuse (dating violence/reproductive
coercion) occurs between two people in a close relationship and can
be physical (punching, kicking, hitting, shoving), emotional (shaming,
bullying, controlling, stalking), or sexual (forcing a partner to engage
in a sexual act when he or she does not consent to it). Incidents of adolescent relationship abuse are not uncommon, with 22.4% of females
and 15% of males experiencing some type of partner violence between
the ages of 11 and 17 years. It may start with teasing, name calling, or
shaming but often progresses electronically, with frequent calls, texting,
or posting sexual pictures of a partner on social media. Risk factors for
being a victim of adolescent relationship abuse include those who use
alcohol, believe violence is acceptable, have a lack of adult supervision,
or have a peer who is in a violent relationship. Most teens do not report
the behaviors because of fear of retaliation from the partner. Teens who
are victims of adolescent relationship abuse are more likely to experience decreased school performance, have thoughts about suicide, use
drugs and alcohol, develop an eating disorder, experience depression,
and are more likely to be victimized during college and into adulthood.
School-­based prevention programs that address attitudes and behaviors linked with adolescent relationship abuse, such as Safe Dates and
Dating Matters, offer training experiences to change social norms
among teens.",adolescent|disorder,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
72,Chapter Unknown,General,3700,"Downloaded for mohamed ahmed (dr.mms2020@gmail.com) at University of Southern California from ClinicalKey.com by Elsevier on
April 21, 2024. For personal use only. No other uses without permission. Copyright ©2024. Elsevier Inc. All rights reserved.",general pediatrics,General Pediatrics,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
73,Chapter Unknown,General,3750,"1192 Part XI u Adolescent Medicine
Table 156.3  Violence Injury and Perpetration Risk Screen (VIPRS Scale): Percent and Odds of Future Violence Perpetration by
Question Type—cont’d
ODDS OF ASSOCIATION WITH FUTURE VIOLENCE PERPETRATION IF
RISK FACTOR PRESENT (OR 95% CI)",adolescent,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
74,Chapter Unknown,General,3800,"*Questions 6 and 8 display gender differences, because these two questions reveal statistically significant differences between genders.
Modified from Sigel EJ, Hoffenberg A, Hart J, Dodge M. Development and psychometric properties of a violence screening tool for primary care. J Adolesc Health. 2011;48:358–365,
Table 4.",development,Growth and Development,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
75,Chapter Unknown,General,3850,"Fig. 157.1 Mean harm scores for 20 substances as determined by an
expert panel based on three criteria: physical harm to user, potential for
dependence, and effect on family, community, and society. Classification under the Misuse of Substances Act, when appropriate, is shown
by the color of each bar. Class A substances are deemed potentially
most dangerous; class C least dangerous. *Heroin, fentanyl, fentanyl
derivatives. (From Nutt D, King LA, Saulsbury W, et al. Development of
a rational scale to access the harm of substances of potential misuse.
Lancet 2007;369:1047–1053.)",development,Growth and Development,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
76,Chapter Unknown,General,3900,"Fig. 157.2 Protection and risk model for distal and proximal determinants of risky substance use disorder and related harms. (From Toumbourou JW, Stockwell T, Neighbors C, et al. Interventions to reduce harm
associated with adolescent substance use. Lancet 2007;369:1391–1571.)",adolescent|disorder,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
77,Chapter Unknown,General,3950,"use is more commonly related to social and peer factors, whereas use
disorder is more often a function of psychologic and biologic factors.
The likelihood that an otherwise normal adolescent would experiment
with substances may depend on the availability of the substance to the
adolescent, the perceived positive or otherwise functional value to the
adolescent, the perceived risk associated with use, and the presence
or absence of restraints, as determined by the adolescent’s cultural or
other important value systems.",adolescent|disorder,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
78,Chapter Unknown,General,4000,"u Substance Use Disorder
amphetamines (18%), oxycodone (15%), methylphenidate (14%),
and tramadol (11%). Many of these substances can be found in the
home of friends; some are over-­the-­counter (OTC) substances (dextromethorphan, pseudoephedrine), whereas others are purchased from
substance dealers at schools and colleges. Adolescents often combine
opioids with marijuana, alcohol, cocaine, and tranquilizers, putting
them at risk for serious complications and overdose.",adolescent|disorder,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
79,Chapter Unknown,General,4050,"Although manifestations vary by the specific substance of use, adolescents who use substances often present in an office setting with no
obvious physical findings. Substance use disorder is more frequently
detected in adolescents who experience trauma such as motor vehicle crashes, bicycle injuries, or violence. Eliciting appropriate historical information regarding substance use, followed by blood alcohol
and urine substance screens, is recommended in emergency settings.
Although waning in popularity, the illicit substances known as “club
drugs” still need to be considered in the differential diagnosis of a teen
with an altered sensorium. An adolescent presenting to an emergency
setting with an impaired sensorium should be evaluated for substance
use as a part of the differential diagnosis (Table 157.4). Screening
for substance use is recommended for patients with psychiatric and
behavioral diagnoses. Other clinical manifestations of substance use
are associated with the route of use; intravenous substance use is associated with venous “tracks” and needle marks, and nasal mucosal injuries are associated with nasal insufflation of substances. Seizures can
be a direct effect of substances such as cocaine, synthetic marijuana,
and amphetamines or an effect of substance withdrawal in the case of
barbiturates or tranquilizers.",adolescent|diagnosis|disorder,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
80,Chapter Unknown,General,4100,"In a primary care setting the annual health maintenance examination
provides an opportunity for identifying adolescents with substance
use disorder. The direct questions and the assessment of school performance, family relationships, and peer activities may necessitate a
more in-­depth interview if there are suggestions of difficulties in those
areas. Several self-­report screening questionnaires also are available,
with varying degrees of standardization, length, and reliability. The
CRAFFT mnemonic is specifically designed to screen for adolescents’
substance use in the primary care setting (Table 157.5). Privacy and
confidentiality must be established when asking the teen about specifics of their substance experimentation or use. Interviewing the parents can provide additional perspective on early warning signs that
go unnoticed or disregarded by the teen. Examples of early warning
signs of teen substance use disorder are change in mood, appetite, or
sleep pattern; decreased interest in school or school performance; loss
of weight; secretive behavior about social plans; or valuables such as
money or jewelry missing from the home. The use of urine substance
screening is recommended when select circumstances are present: (1)
psychiatric symptoms to rule out comorbidity or dual diagnoses, (2)
significant changes in school performance or other daily behaviors,
(3) frequently occurring accidents, (4) frequently occurring episodes
of respiratory problems, (5) evaluation of serious motor vehicular or
other injuries, and (6) as a monitoring procedure for a recovery program. Most initial screening uses an immunoassay method, such as the
enzyme-­multiplied immunoassay technique, followed by a confirmatory test using highly sensitive, highly specific gas chromatography–
mass spectrometry. The substances that can cause false-­positive results
should be considered, especially when there is a discrepancy between",symptoms|adolescent|disorder,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
81,Chapter Unknown,General,4150,"u Substance Use Disorder
Table 157.7  Risk Factors for a Teen Developing a
Drinking Problem
FAMILY RISK FACTORS
• Low parental supervision
• Poor parent to teen communication
• Family conflicts
• Severe or inconsistent family discipline
• Having a parent with an alcohol or substance problem
INDIVIDUAL RISK FACTORS
• Poor impulse control
• Emotional instability
• Thrill-­seeking behaviors
• Behavioral problems
• Perceived risk of drinking is low
• Begins drinking before age 14 yr",disorder,General Pediatrics,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
82,Chapter Unknown,General,4200,"remains especially problematic among older teens and young adults;
31% of high school seniors report having five or more drinks in a row
in the last 30 days. Higher rates of alcohol use disorder are seen in
males (23.8%) than in females (19.8%). Teens with binge-­drinking patterns are more likely to be assaulted, engage in high-­risk sexual behaviors, have academic problems, and be injured than those teens without
binge-­drinking patterns.
Alcohol contributes to more deaths in young individuals in the
United States than all the illicit substances combined. Among studies of
adolescent trauma victims, alcohol is reported to be present in 32–45%
of hospital admissions. Motor vehicle crashes are the most frequent
type of event associated with alcohol use, but the injuries span several
types, including self-­inflicted wounds.
Alcohol is often mixed with energy drinks (caffeine, taurine, sugars), which can result in a spectrum of alcohol-­related negative behaviors. Caffeine may counter the sedative effects of alcohol, resulting in
more alcohol consumption and a perception of not being intoxicated,
thus leading to risk-­taking behavior such as driving while intoxicated.
In addition, aggressive behavior, including sexual assaults and motor
vehicle or other injuries, has been reported. Both alcohol and caffeine
overdoses have also been reported.",adolescent|disorder,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
83,Chapter Unknown,General,4250,"Alcohol (ethyl alcohol or ethanol) is rapidly absorbed in the stomach and
is transported to the liver and metabolized by two pathways. The primary
metabolic pathway contributes to the excess synthesis of triglycerides, a
phenomenon that is responsible for producing a fatty liver, even in those
who are well nourished. Engorgement of hepatocytes with fat causes necrosis, triggering an inflammatory process (alcoholic hepatitis), later followed
by fibrosis, the hallmark of cirrhosis. Early hepatic involvement may result
in elevation in γ-­glutamyltransferase (GGT) and serum glutamic-­pyruvic
transaminase (alanine transaminase). The second metabolic pathway,
which is used at high serum alcohol levels, involves the microsomal enzyme
system of the liver, in which the cofactor is reduced to nicotinamide-­
adenine dinucleotide phosphate. The net effect of activation of this pathway
is to decrease metabolism of substances that share this system and to allow
for their accumulation, enhanced effect, and possible toxicity.",necrosis|cirrhosis|hepatitis|fibrosis,General Pediatrics,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
84,Chapter Unknown,General,4300,"The 4-­mg strength should be used by patients
who smoke ≥25 cigarettes a day; otherwise,
2-­mg strength should be used.
Wk 1-­6: 1 piece every 1-­2 hr
Wk 7-­9: 1 piece every 2-­4 hr
Wk 10-­12: 1 piece every 4-­8 hr
6-­16 cartridges a day for up to 12 wk",general pediatrics,General Pediatrics,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
85,Chapter Unknown,General,4350,"The 4-­mg strength should be used by patients
who smoke their first cigarette within 30 min
of waking; otherwise, 2-­mg strength should
be used.
Wk 1-­6: 1 lozenge every 1-­2 hr
Wk 7-­9: 1 lozenge every 2-­4 hr
Wk 10-­12: 1 lozenge every 4-­8 hr
1-­2 sprays/hr up to a maximum of 80 sprays
per day
For patients who smoke >10 cigarettes daily:
Step 1: one 21-­mg patch daily for wk 1-­6
Step 2: one 14-­mg patch daily for wk 7-­8
Step 3: one 7-­mg patch daily for wk 9-­10
For patients who smoke <10 cigarettes daily:
Begin with 14-­mg patch daily for 6 wk, followed
by 7-­mg patch for 2 wk.",general pediatrics,General Pediatrics,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
86,Chapter Unknown,General,4400,"157.3 Marijuana
Cora Collette Breuner
Marijuana (cannabis, pot, weed, hash, grass), derived from the
Cannabis sativa hemp plant, is the most commonly used illicit substance. The main active chemical, tetrahydrocannabinol (THC),
is responsible for its hallucinogenic properties. THC is absorbed
rapidly by the nasal or oral routes, producing a peak of subjective
effect at 10 min and 1 hour, respectively. Marijuana is generally
smoked as a cigarette (reefer, joint), in a pipe, or ingested (edibles).
Although there is much variation in content, each cigarette contains
8–10% THC. Another popular form that is smoked, a “blunt,” is a
hollowed-­out small cigar (tobacco leaf) refilled with marijuana, and
thus also contains nicotine. Marijuana products (hash oil or leaf)
can also be used in some vaping devices or hookah pens. Hashish is
the concentrated THC resin in a sticky black liquid or oil. Although
marijuana use by U.S. teens has declined in the last decade, ∼25%
of high school students have used marijuana at least once during
the previous 30 days. About 8% of students report having tried
marijuana before age 13, with a range of 4.3–18.5% across various
states, indicating the need for early prevention efforts. Adolescents
living in states where medical marijuana is legal report a higher use",adolescent,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
